candidate_id,component,tested,necessary,failed_world,failed_test,observed,ablated_prediction
E_FEEDBACK_GATE,closed_loop_feedback,True,True,W_HARDWARE,T_BASE,stable,unstable
E_FEEDBACK_GATE,closed_loop_feedback,True,True,W_HARDWARE,T_DROP,recovers,fails
E_FEEDBACK_GATE,closed_loop_feedback,True,True,W_HARDWARE,T_LABEL,stable,unstable
E_FEEDBACK_GATE,closed_loop_feedback,True,True,W_SOFTWARE,T_BASE,stable,unstable
E_FEEDBACK_GATE,closed_loop_feedback,True,True,W_SOFTWARE,T_DROP,recovers,fails
E_FEEDBACK_GATE,closed_loop_feedback,True,True,W_SOFTWARE,T_LABEL,stable,unstable
E_FEEDBACK_GATE,observability_gate,True,True,W_BLIND,T_BASE,unstable,stable
E_FEEDBACK_GATE,observability_gate,True,True,W_BLIND,T_DROP,blocked,recovers
E_FEEDBACK_GATE,observability_gate,True,True,W_BLIND,T_LABEL,unstable,stable
E_OVERCOMPLETE,closed_loop_feedback,True,True,W_HARDWARE,T_BASE,stable,unstable
E_OVERCOMPLETE,closed_loop_feedback,True,True,W_HARDWARE,T_DROP,recovers,fails
E_OVERCOMPLETE,closed_loop_feedback,True,True,W_HARDWARE,T_LABEL,stable,unstable
E_OVERCOMPLETE,closed_loop_feedback,True,True,W_SOFTWARE,T_BASE,stable,unstable
E_OVERCOMPLETE,closed_loop_feedback,True,True,W_SOFTWARE,T_DROP,recovers,fails
E_OVERCOMPLETE,closed_loop_feedback,True,True,W_SOFTWARE,T_LABEL,stable,unstable
E_OVERCOMPLETE,observability_gate,True,True,W_BLIND,T_BASE,unstable,stable
E_OVERCOMPLETE,observability_gate,True,True,W_BLIND,T_DROP,blocked,recovers
E_OVERCOMPLETE,observability_gate,True,True,W_BLIND,T_LABEL,unstable,stable
E_OVERCOMPLETE,casing_colour,True,False,,,,
E_CLOCK_CORRELATION,periodic_clock,True,True,W_HARDWARE,T_BASE,stable,unstable
E_CLOCK_CORRELATION,periodic_clock,True,True,W_HARDWARE,T_LABEL,stable,unstable
E_CLOCK_CORRELATION,periodic_clock,True,True,W_SOFTWARE,T_BASE,stable,unstable
E_CLOCK_CORRELATION,periodic_clock,True,True,W_SOFTWARE,T_LABEL,stable,unstable
